hostid,host,class,HST_1,HST_2,HST_3,HST_4,HST_5,HST_6
0,007cleaningagent.co.uk,nonspam,178,8,5.393258427,0.033707865,0.0628766,1.979130435
2,1-hydroponics.co.uk,nonspam,1339,11,4.70201643,0.141896938,0.17813,2.526472535
3,102belfast.boys-brigade.org.uk,nonspam,37,0,5.378378378,0.297297297,0.070194,1.18
4,10bristol.boys-brigade.org.uk,nonspam,184,6,4.60326087,0.288043478,0.0405612,1.774526678
5,10enfield.boys-brigade.org.uk,nonspam,16,5,4.875,0,0.164905,0.846846847
7,1250.org.uk,nonspam,284,6,4.813380282,0.253521127,0.189756,2.087231353
10,14theweb.co.uk,nonspam,21,3,4.476190476,0.047619048,0.305195,0.93495935
11,15nr.co.uk,nonspam,372,7,4.755376344,0.01344086,0.119189,2.048803828
13,195hairlines.co.uk,nonspam,216,11,5.064814815,0.166666667,0.128359,1.884892086
14,1abirmingham.boys-brigade.org.uk,nonspam,200,4,4.605,0.75,0.0478392,1.932758621
15,1ballyclare.boys-brigade.org.uk,nonspam,27,5,4.407407407,0.888888889,0.0760383,1.006896552
16,1ballykelly.boys-brigade.org.uk,nonspam,659,5,5.013657056,0.092564492,0.151678,2.979699248
17,1cheam.boys-brigade.org.uk,nonspam,21,0,4,0,0.12426,0.889830508
18,1highwycombe.boys-brigade.org.uk,nonspam,136,0,3.985294118,0.117647059,0.110975,1.649635036
19,1portrush.boys-brigade.org.uk,nonspam,434,0,3.661290323,0.002304147,0.241453,2.630689207
22,1stopwebservices.co.uk,nonspam,10,3,5.8,0.1,0.241667,0.747252747
24,1yate.boys-brigade.org.uk,nonspam,12,1,4.916666667,0,0.0784574,0.77173913
25,2020sites.co.uk,nonspam,96,8,5.03125,0,0.189784,1.535809019
26,2020telecom.co.uk,nonspam,8,2,4.5,0.125,0.170616,0.556962025
28,21stcenturyboy.ichiji.co.uk,nonspam,61,3,4.62295082,0.06557377,0.128944,1.294339623
29,21up.co.uk,nonspam,16,3,3.875,0.0625,0.0276909,0.735849057
32,28walthamforest.boys-brigade.org.uk,nonspam,31,8,5,0.129032258,0.0509366,1.24
33,297sqnatc.org.uk,nonspam,33,1,4.636363636,0.363636364,0.221098,1.223684211
34,2accrington.boys-brigade.org.uk,nonspam,85,4,5.376470588,0.058823529,0.137073,1.608308605
35,2bedford.boys-brigade.org.uk,nonspam,166,2,4.590361446,0.554216867,0.07188,1.78805395
37,2coleraine.boys-brigade.org.uk,nonspam,15,3,4.2,0,0.0984375,0.772277228
38,2cumbernauld.boys-brigade.org.uk,nonspam,5,4,5,0,0.0447227,0.422535211
39,2extremes.co.uk,nonspam,8,2,4.5,0.125,0.172249,0.556962025
40,2kweb.inter2.co.uk,nonspam,10,1,3.6,0,0.276923,0.597402597
41,2nd.orp.org.uk,nonspam,15,4,4.8,0.466666667,0.0246914,0.790909091
42,2oakengates.boys-brigade.org.uk,nonspam,69,0,5.173913043,0.289855072,0.0420792,1.532374101
43,2sig.kraftysworld.co.uk,nonspam,144,5,4.701388889,0.229166667,0.084414,1.668699187
44,2wheeltravel.co.uk,nonspam,119,7,4.789915966,0.277310924,0.0889097,1.684596577
45,2witham.boys-brigade.org.uk,nonspam,4,4,5,0,0.0445434,0.347826087
46,3-c.co.uk,nonspam,10,2,5,0.1,0.340136,0.697674419
49,34thnottinghamscouts.org.uk,nonspam,3,3,6.666666667,0,0.0966184,0.359375
50,36-degrees.co.uk,nonspam,688,3,4.328488372,0.117732558,0.179744,2.247700797
52,36bristol.boys-brigade.org.uk,nonspam,171,5,4.742690058,0.152046784,0.0635929,1.795246801
54,3lib.ukonline.co.uk,nonspam,397,9,5.068010076,0.297229219,0.216647,2.074935401
55,3suttoncoldfield.boys-brigade.org.uk,nonspam,46,0,4.847826087,0.02173913,0.0550346,1.206278027
56,3wjobs.co.uk,nonspam,229,6,5.318777293,1.3930131,0.0985596,1.876783398
57,43belfast.boys-brigade.org.uk,nonspam,87,4,4.873563218,0,0.0390603,1.680921053
58,4ashton.boys-brigade.org.uk,nonspam,14,3,4.071428571,0,0.0964467,0.731958763
59,4presents.co.uk,nonspam,429,13,4.801864802,0.067599068,0.228255,2.348113208
60,4producers.co.uk,nonspam,227,1,4.616740088,0.788546256,0.0654182,1.880530973
62,4site-web-design.co.uk,nonspam,806,28,5.581885856,1.255583127,0.201532,3.681471201
64,4th-texas.org.uk,nonspam,289,6,4.591695502,0.006920415,0.125842,1.894490035
67,50connect.co.uk,nonspam,166,9,4.753012048,0.012048193,0.264145,1.854368932
68,56belfast.boys-brigade.org.uk,nonspam,29,3,4.724137931,0.172413793,0.131985,1.152777778
69,59manchester.boys-brigade.org.uk,nonspam,165,3,4.454545455,0,0.0517861,1.836734694
70,5hull.boys-brigade.org.uk,nonspam,113,1,5.292035398,0.283185841,0.163701,1.734146341
71,5starblonde.co.uk,nonspam,1452,11,5.165289256,0.734848485,0.364325,5.901120633
72,65edinburgh.boys-brigade.org.uk,nonspam,7,6,4.857142857,0,0.0470263,0.518987342
73,6covepark.co.uk,nonspam,14,10,4,0.428571429,0.0434783,0.693069307
74,6m.p6.org.uk,nonspam,63,2,4.46031746,0.285714286,0.0388282,1.359683794
75,7plymouth.boys-brigade.org.uk,nonspam,245,5,4.379591837,0.469387755,0.0696211,1.990936556
76,82belfast.boys-brigade.org.uk,nonspam,108,0,4.324074074,0,0.273099,1.71641791
78,92belfast.boys-brigade.org.uk,nonspam,197,6,4.83248731,0.005076142,0.111593,1.880523732
79,a-connect.co.uk,nonspam,284,17,5.908450704,0.316901408,0.29975,2.204494382
80,a-r-c.gold.ac.uk,nonspam,7,3,3.285714286,0,0.00419096,0.405405405
81,a-story-to-be-told.co.uk,nonspam,185,0,4.605405405,0,0.0304112,1.931098696
82,a-v-i.co.uk,nonspam,11,7,4.818181818,0.545454545,0.0428456,0.703296703
84,a1-mobile-therapies.co.uk,nonspam,150,4,5.04,0.2,0.0616489,1.709433962
85,a1.speakout.co.uk,nonspam,11,4,4.818181818,0,0.140212,0.719101124
86,a1exclusive.co.uk,nonspam,46,8,5.804347826,0.086956522,0.0750844,1.798850575
88,a1mobile.cruos.co.uk,nonspam,152,15,5.190789474,0.013157895,0.100702,1.775471698
89,a2jlp.co.uk,nonspam,8,2,4.5,0.125,0.172249,0.556962025
91,aad.caad.ed.ac.uk,nonspam,53,5,5.320754717,0.58490566,0.13435,1.488888889
92,aamcc.co.uk,nonspam,213,1,5.014084507,0.018779343,0.207379,2.036565978
94,aaplasteringservices.co.uk,nonspam,86,13,5.558139535,0.023255814,0.0881594,1.566666667
95,aapropertyservices.co.uk,nonspam,131,4,3.984732824,0.015267176,0.0571303,1.691709845
96,aarlsen.co.uk,nonspam,4,4,5.5,2.5,0.019802,0.4
97,aaronguesthouse.co.uk,nonspam,237,6,4.801687764,0.299578059,0.111623,1.953125
98,aawoodcrafts.co.uk,nonspam,33,1,4.818181818,0.363636364,0.24575,1.288590604
99,abacus.gene.ucl.ac.uk,nonspam,146,7,6.02739726,0.45890411,0.349762,1.707154742
100,abba-revolution.co.uk,nonspam,293,6,4.907849829,0.017064846,0.202735,2.058263971
101,abbey.lodge.org.uk,nonspam,82,3,4.06097561,0.024390244,0.085188,1.812227074
102,abc.zoo.ox.ac.uk,nonspam,207,3,4.903381643,0.391304348,0.0656363,2.040066778
103,abdellab.sunderland.ac.uk,nonspam,881,0,5.331441544,0.035187287,0.101015,2.70251938
104,abdn.ac.uk,nonspam,10,3,5.8,0.1,0.245763,0.747252747
